Price,Location,Area,Amenities,BHK
₹11.0 Cr,"Bandra West, Mumbai - Western Mumbai, Maharashtra",2000sqft,,4 BHK
₹3.50 Cr,"Santacruz West, Mumbai - Western Mumbai, Maharashtra",701sqft,,3 BHK
₹4.0 Cr,"Malad East, Mumbai, Malad East, Mumbai - Western Mumbai, Maharashtra",1800sqft,,4 BHK
₹10.0 Cr,"Near to Joggers park, Creek Road, Lokhandwala, Andheri - west- 400053, Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",2300sqft,,5 BHK
₹1.01 Cr,"Shimpoli Village, Opp Yash Apartment, Shimpoli, Borivali W, Mumbai 400092, Borivali West, Mumbai - Western Mumbai, Maharashtra",415sqft,,1 BHK
₹1.66 Cr,"Andheri West, Mumbai - Western Mumbai, Maharashtra",461sqft,,2 BHK
₹3.85 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1338sqft,,4 BHK
₹1.50 Cr,"Chembur East, Chembur, Mumbai - Harbour Line, Maharashtra",600sqft,,2 BHK
₹3.25 Cr,"Pioneer Heritage Residency l, S V Road, Santacruz West, Mumbai 400054, Santacruz West, Mumbai - Western Mumbai, Maharashtra",1200sqft,,4 BHK
₹5.25 Cr,"Jogeshwari West, Mumbai, Jogeshwari West, Mumbai - Western Mumbai, Maharashtra",1525sqft,,4 BHK
₹3.50 Cr,"Goregaon East, Mumbai, Gokuldham, Mumbai - North Mumbai, Maharashtra",1280sqft,,3 BHK
₹1.10 Cr,"Malad West, Mumbai, Malad West, Mumbai - Western Mumbai, Maharashtra",450sqft,,1 BHK
₹3.71 Cr,"Sv road., Borivali West, Mumbai - Western Mumbai, Maharashtra",1240sqft,,3 BHK
₹1.67 Cr,"malad west, Malad West, Mumbai - Western Mumbai, Maharashtra",654sqft,,2 BHK
₹18.25 Cr,"Prabhadevi, Mumbai, Prabhadevi, Mumbai - South Mumbai, Maharashtra",3000sqft,,5 BHK
₹2.30 Cr,"Mulund West, Mumbai - Central Mumbai, Maharashtra",1296sqft,,3 BHK
₹36.0 Cr,"50 floor, world towers., Lower Parel West, Mumbai - South Mumbai, Maharashtra",5455sqft,,5 BHK
₹12.69 Cr,"Bandra Kurla Complex, Mumbai, Bandra Kurla Complex, Mumbai - Western Mumbai, Maharashtra",2080sqft,,4 BHK
₹2.0 Cr,"S v road., Vile Parle West, Mumbai - Western Mumbai, Maharashtra",450sqft,,1 BHK
₹1.65 Cr,"JB Nagar metro station, Andheri East, Andheri East, Mumbai - Western Mumbai, Maharashtra",555sqft,,2 BHK
₹3.30 Cr,"Kandivali East, Mumbai - Western Mumbai, Maharashtra",1003sqft,,3 BHK
₹7.51 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1600sqft,,4 BHK
₹2.80 Cr,"Andheri East, Mumbai - Western Mumbai, Maharashtra",730sqft,,2 BHK
₹2.10 Cr,"Malad West, Mumbai, Kanchpada, Mumbai - North Mumbai, Maharashtra",676sqft,,2 BHK
₹12.0 Cr,"Bhoiwada, Lower Parel East, Parel, Mumbai - South Mumbai, Maharashtra",2600sqft,,4 BHK
₹5.75 Cr,"402., Vile Parle East, Mumbai - Western Mumbai, Maharashtra",1221sqft,,3 BHK
₹42.0 Cr,"Raheja Imperia, Off Worli Naka, Lower Parel Division, Worli, Mumbai-400 013, Worli, Mumbai - South Mumbai, Maharashtra",6200sqft,,9 BHK
₹2.80 Cr,"Hari Kunj Phase 2 Near Sindhi Society Gymkhana Chembur Mumbai Maharashtra 400071, Chembur, Mumbai - Harbour Line, Maharashtra",1100sqft,,3 BHK
₹1.99 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",590sqft,,2 BHK
₹10.0 Cr,"Near ram mandir., Vile Parle East, Mumbai - Western Mumbai, Maharashtra",2400sqft,,6 BHK
₹80.0 Lac,"Kandivali West, Mumbai, Kandivali West, Mumbai - Western Mumbai, Maharashtra",447sqft,,1 BHK
₹3.05 Cr,"Santacruz East, Mumbai, Sundar Nagar - Kalina, Mumbai - Western Mumbai, Maharashtra",743sqft,,2 BHK
₹20.0 Cr,"Worli, Worli, Mumbai - South Mumbai, Maharashtra",4600sqft,,7 BHK
₹7.50 Cr,"located at belasis road opp Best depo, 5 min walk from Mumbai Central Station",1918sqft,,4 BHK
₹1.35 Cr,"Lower Parel, Mumbai, Lower Parel West, Mumbai - South Mumbai, Maharashtra",373sqft,,1 BHK
₹5.10 Cr,"Mahakali Caves Road, Andheri East - Mumbai - 400093, Chakala, Mumbai - Western Mumbai, Maharashtra",1685sqft,,4 BHK
₹5.60 Cr,"Worli, Mumbai - South Mumbai, Maharashtra",967sqft,,3 BHK
₹1.75 Cr,"Dhanukar Wadi, Kandivali West, Mumbai - Western Mumbai, Maharashtra",650sqft,,2 BHK
₹6.25 Cr,"Near W E Highway, Borivali East, Mumbai - Western Mumbai, Maharashtra",1730sqft,,5 BHK
₹2.50 Cr,"Malad East, Mumbai, Pushpa Park, Mumbai - North Mumbai, Maharashtra",833sqft,,2 BHK
₹1.60 Cr,"4RXWVRR, Somani Gram, Jogeshwari West, Mumbai, Maharashtra 400047",580sqft,,2 BHK
₹76.0 Lac,"Mira Road East, Mumbai, Mira Road East, Mumbai, Maharashtra",650sqft,,2 BHK
₹91.0 Lac,"301 Ariana Residency Devipada Borivali East, Devipada, Mumbai - North Mumbai, Maharashtra",400sqft,,1 BHK
₹2.10 Cr,"Veera Desai road, Andheri West, Mumbai - Western Mumbai, Maharashtra",700sqft,,2 BHK
₹1.45 Cr,"Powai, Mumbai, Powai, Mumbai - Central Mumbai, Maharashtra",400sqft,,1 BHK
₹2.99 Cr,"Byculla, Mumbai - South Mumbai, Maharashtra",746sqft,,2 BHK
₹3.20 Cr,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",1050sqft,,3 BHK
₹7.25 Cr,"omkar alta monte Malad East, Malad East, Mumbai - Western Mumbai, Maharashtra",3311sqft,,4 BHK
₹2.85 Cr,"Mulund East, Mumbai, Mulund East, Mumbai - Central Mumbai, Maharashtra",1008sqft,,4 BHK
₹95.0 Lac,"IC Colony, Borivali West, Borivali West, Mumbai - Western Mumbai, Maharashtra",385sqft,,1 BHK
₹4.25 Cr,"103, Cuffe Parade, World Trade Centre, Mumbai - South Mumbai, Maharashtra",580sqft,,1 BHK
₹36.0 Cr,"Lower parel, Worli, Mumbai - South Mumbai, Maharashtra",5445sqft,,5 BHK
₹85.0 Lac,"Malad West, Orlem, Mumbai - North Mumbai, Maharashtra",400sqft,,1 BHK
₹9.50 Cr,"Khar West, Mumbai - Western Mumbai, Maharashtra",1508sqft,,4 BHK
₹1.35 Cr,"Neelyog Apartment Savitribai Phule Nagar Pant Nagar Ghatkopar East Mumbai Maharashtra 400075, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",500sqft,,2 BHK
₹85.0 Lac,"Dahisar East, Mumbai, Dahisar, Mumbai - Western Mumbai, Maharashtra",390sqft,,1 BHK
₹12.0 Cr,"Raheja Classique Andheri West Mumbai Maharashtra 400053, Andheri West, Mumbai - Western Mumbai, Maharashtra",2800sqft,,4 BHK
₹5.96 Cr,"Gulmohar Road No.12, Juhu., Gulmohar Road, Mumbai - Western Mumbai, Maharashtra",1193sqft,,3 BHK
₹1.85 Cr,"Masjid Bandar west, Vadgadi, Mumbai, 400003, Vadgadi, Mumbai - Western Mumbai, Maharashtra",420sqft,,2 BHK
₹11.75 Cr,"Andheri West, Mumbai, Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",2550sqft,,5 BHK
₹53.0 Lac,"Virar West, Mumbai, Y K Nagar, Mumbai - Mira Road and Beyond, Maharashtra",576sqft,,2 BHK
₹66.0 Lac,"Kalyan, Mumbai, Kalyan, Mumbai - Around Mumbai, Maharashtra",1000sqft,,4 BHK
₹5.0 Cr,"Malad East, Mumbai, Pushpa Park, Mumbai - North Mumbai, Maharashtra",1883sqft,,3 BHK
₹1.60 Cr,"Kalina, Mumbai., Kolivery, Mumbai - Western Mumbai, Maharashtra",777sqft,,2 BHK
₹7.25 Cr,"Vile Parle East, Vile Parle East, Mumbai - Western Mumbai, Maharashtra",1450sqft,,4 BHK
₹68.0 Lac,"Mira Road East, Mumbai, Mira Road East, Mumbai, Maharashtra",486sqft,,1 BHK
₹2.55 Cr,"Opp Passport Office Kathiyawad Chowk, Rani Sati Marg, Gautam Nagar, Malad East, Mumbai, Maharashtra, Malad East, Mumbai - North Mumbai, Maharashtra, Malad East, Mumbai - Western Mumbai, Maharashtra",850sqft,,2 BHK
₹7.20 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1600sqft,,4 BHK
₹3.55 Cr,"Powai, Mumbai, Chandivali, Mumbai - Central Mumbai, Maharashtra",1068sqft,,3 BHK
₹2.65 Cr,"Powai, Mumbai - Central Mumbai, Maharashtra",950sqft,,2 BHK
₹4.95 Cr,"s.samuels marg off MGLR Nahur west, Mulund West, Mumbai - Central Mumbai, Maharashtra",1905sqft,,4 BHK
₹1.85 Cr,"JB Nagar, Mumbai - Western Mumbai, Maharashtra",650sqft,,2 BHK
₹8.65 Cr,"Mumbai, Malad East, Mumbai - Western Mumbai, Maharashtra",4053sqft,,5 BHK
₹7.50 Cr,"mumbai, Dadar West, Mumbai - South Mumbai, Maharashtra",1050sqft,,3 BHK
₹2.15 Cr,"opp prabhadevi temple, Prabhadevi, Mumbai - South Mumbai, Maharashtra",500sqft,,1 BHK
₹1.40 Cr,"sankar dham soiety andheri west, Andheri West, Mumbai - Western Mumbai, Maharashtra",550sqft,,1 BHK
₹3.0 Cr,"13., Vile Parle East, Mumbai - Western Mumbai, Maharashtra",750sqft,,2 BHK
₹1.95 Cr,"N.M.JOSHI ANNEX BLDG NO 4 A wing gavanpada, Gavan Pada, Mumbai - Central Line, Maharashtra",800sqft,,2 BHK
₹3.74 Cr,"Kandivali East, Mumbai, Lokhandwala Twp, Mumbai - Western Mumbai, Maharashtra",1540sqft,,4 BHK
₹39.0 Cr,"G Block, Bandra Kurla Complex, Opp. Trident Hotel, Bandra Kurla Complex, Mumbai - Western Mumbai, Maharashtra","12,500sqft",,4 BHK
₹1.15 Cr,"Kandivali East, Mumbai, Lokhandwala Twp, Mumbai - Western Mumbai, Maharashtra",428sqft,,1 BHK
₹69.0 Lac,"Vasai, Mumbai, Chulne, Mumbai - Mira Road and Beyond, Maharashtra",680sqft,,2 BHK
₹7.20 Cr,"versova, Versova, Mumbai - Western Mumbai, Maharashtra",1550sqft,,4 BHK
₹15.0 Cr,"Pandurang Budhkar Marg, 400018, Lower Parel, Mumbai - South Mumbai, Maharashtra",2650sqft,,4 BHK
₹20.0 Cr,"Opp. R City Mall, LBS Marg, Ghatkopar West, Mumbai - Central Mumbai, Maharashtra","15,000sqft",,8 BHK
₹1.96 Cr,"Wadala, Mumbai, Wadala East, Mumbai - South Mumbai, Maharashtra",735sqft,,1 BHK
₹5.49 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",1800sqft,,4 BHK
₹3.0 Cr,"Trimurti Residency J B Nagar Off Andheri Kurla Road Andheri East Mumbai Maharashtra 400059, Andheri East, Mumbai - Western Mumbai, Maharashtra",1070sqft,,3 BHK
₹1.30 Cr,"A 402, Shiv Surbhi Building, Jivlapada, Thakur Village, Thakur Village, Mumbai - North Mumbai, Maharashtra",630sqft,,2 BHK
₹2.35 Cr,"Orchid Suburbia kandivali west link road, Kandivali West, Mumbai - Western Mumbai, Maharashtra",616sqft,,2 BHK
₹2.80 Cr,"A 1804., Film City Road, Mumbai - North Mumbai, Maharashtra",960sqft,,2 BHK
₹4.60 Cr,"Byculla, Byculla, Mumbai - South Mumbai, Maharashtra",1146sqft,,3 BHK
₹95.0 Lac,"Kandivali West, Mumbai - Western Mumbai, Maharashtra",460sqft,,1 BHK
₹12.0 Cr,"Powai, Mumbai - Central Mumbai, Maharashtra",2000sqft,,4 BHK
₹1.0 Cr,"Conwood Astoria, Mohan Gokhale Road, Gokuldham Colony, Goregaon, Mumbai, Maharashtra 400063., Goregaon East, Mumbai - Western Mumbai, Maharashtra",420sqft,,1 BHK
₹2.70 Cr,"Mulund West, Mumbai - Central Mumbai, Maharashtra",960sqft,,3 BHK
₹16.0 Cr,"Dadar East, Mumbai, Dadar TT Circle, Mumbai - Central Mumbai, Maharashtra",,,4 BHK
₹1.85 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",802sqft,,2 BHK
₹85.0 Lac,"Vasai West, Mumbai - Mira Road and Beyond, Maharashtra",1300sqft,,4 BHK
₹1.65 Cr,"Tilak Nagar Harbour Line, Mumbai, Tilak Nagar - Harbour Line, Mumbai - Harbour Line, Maharashtra",645sqft,,2 BHK
₹8.25 Cr,"Bandra, Mumbai - Western Mumbai, Maharashtra",1126sqft,,4 BHK
₹8.60 Cr,"Agar Bazar, Dadar West, Dadar West, Mumbai - South Mumbai, Maharashtra",1868sqft,,5 BHK
₹55.0 Lac,"Powai, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",472sqft,,1 BHK
₹89.0 Lac,"Asalpha., Ghatkopar West, Mumbai - Central Mumbai, Maharashtra",550sqft,,1 BHK
₹30.0 Lac,"Mumbai, Maharashtra",395sqft,,1 BHK
₹1.0 Cr,"Gorai 2, Mumbai - North Mumbai, Maharashtra",580sqft,,1 BHK
₹2.35 Cr,"St Roques Road, Bandra West, Mumbai - Western Mumbai, Maharashtra",450sqft,,1 BHK
₹23.10 Cr,"Khar West, Mumbai., Khar West, Mumbai - Western Mumbai, Maharashtra",3742sqft,,5 BHK
₹14.17 Cr,"gulmohar road, JVPD Scheme, JVPD Scheme, Mumbai - Western Mumbai, Maharashtra",2577sqft,,6 BHK
₹2.40 Cr,"Andheri West, Mumbai, 4 Bunglows, Mumbai - Western Mumbai, Maharashtra",930sqft,,2 BHK
₹7.0 Cr,"yamuna Nagar Lokhandwala Andheri West, Andheri West, Mumbai - Western Mumbai, Maharashtra",1800sqft,,5 BHK
₹1.10 Cr,"I c colony Borivali west, Borivali West, Mumbai - Western Mumbai, Maharashtra",380sqft,,1 BHK
₹9.50 Cr,"1001., Pirojshah Nagar, Mumbai - Central Line, Maharashtra",1754sqft,,4 BHK
₹1.11 Cr,"Chandivali, Mumbai, Chandivali, Mumbai - Central Mumbai, Maharashtra",366sqft,,1 BHK
₹4.90 Cr,"GMLR, behind Fortis Hospital, Mulund West, Mulund West, Mumbai - Central Mumbai, Maharashtra",1890sqft,,4 BHK
₹8.06 Cr,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Mumbai, Maharashtra",2100sqft,,5 BHK
₹2.66 Cr,"Chakala, Andheri East, Andheri East, Mumbai - Western Mumbai, Maharashtra",873sqft,,2 BHK
₹8.90 Cr,"Napoo Garden, Matunga East, Mumbai - South Mumbai, Maharashtra",1722sqft,,4 BHK
₹5.68 Cr,"King Circle, Mumbai - Central Mumbai, Maharashtra",1331sqft,,4 BHK
₹35.0 Lac,"Naigaon, Naigaon East, Mumbai - Mira Road and Beyond, Maharashtra",392sqft,,1 BHK
₹58.0 Lac,"Mira Road East, Mumbai, Mira Road East, Mumbai, Maharashtra",447sqft,,1 BHK
₹1.82 Cr,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Mumbai, Maharashtra",750sqft,,2 BHK
₹27.0 Lac,"211and 212 bajrang plaza Sainath Nagar, virar East, Virar East, Mumbai - Mira Road and Beyond, Maharashtra",625sqft,,3 BHK
₹9.25 Cr,"Next to Oberoi Splendor, Jogeshwari Vikhroli Link Road, Andheri East, Mumbai, Maharashtra, Andheri East, Mumbai - Western Mumbai, Maharashtra",2300sqft,,4 BHK
₹11.0 Cr,"Mulund West, Mumbai - Central Mumbai, Maharashtra",2310sqft,,5 BHK
₹82.1 Lac,"Grandness Building, maruti nagar complex, shiv- vallabh road, ashokvan, dahisar east, mumbai-400068., Ashok Van, Mumbai - North Mumbai, Maharashtra",365sqft,,1 BHK
₹1.47 Cr,"Chembur, Mumbai., Chembur, Mumbai - Harbour Line, Maharashtra",565sqft,,2 BHK
₹10.50 Cr,"Worli, Mumbai, Worli Sea Face, Mumbai - South Mumbai, Maharashtra",1701sqft,,4 BHK
₹25.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",3144sqft,,5 BHK
₹45.0 Cr,"Off linking road., Khar Danda, Mumbai - Western Mumbai, Maharashtra",7000sqft,,0 BHK
₹1.10 Cr,"Marol, ANDHERI EAST Mumbai, Marol Maroshi, Mumbai - Western Mumbai, Maharashtra",442sqft,,1 BHK
₹65.0 Lac,"In Prabhadevi, Prabhadevi, Mumbai - South Mumbai, Maharashtra",225sqft,,1 BHK
₹6.50 Cr,"Goregaon West, Mumbai, Bangur Nagar, Mumbai - North Mumbai, Maharashtra",1800sqft,,4 BHK
₹15.50 Cr,"Prabhadevi, Mumbai, Prabhadevi, Mumbai - South Mumbai, Maharashtra",2500sqft,,4 BHK
₹1.05 Cr,"nagpada, Nagpada, Mumbai - South Mumbai, Maharashtra",450sqft,,1 BHK
₹1.15 Cr,"Goshala Road JN Road Junction, Mulund West, Mumbai - Central Mumbai, Maharashtra",455sqft,,1 BHK
₹37.50 Cr,"North Ave, Mumbai - Western Mumbai, Maharashtra",6800sqft,,8 BHK
₹85.0 Lac,"near Charkop Village, Highland Park, Kandivali West, Mumbai, Maharashtra 400067, Charkop Gaon, Mumbai - North Mumbai, Maharashtra",420sqft,,1 BHK
₹1.30 Cr,"Bhandup West, Mumbai, Bhandup West, Mumbai - Central Mumbai, Maharashtra",530sqft,,2 BHK
₹9.44 Cr,"Byculla, Mumbai, Byculla West, Mumbai, Maharashtra",2302sqft,,4 BHK
₹81.0 Lac,"Mumbai, Vikhroli East, Mumbai - Central Mumbai, Maharashtra",411sqft,,1 BHK
₹1.50 Cr,"Rawal Pada Dahisar East, Dahisar East, Mumbai - Western Mumbai, Maharashtra",700sqft,,2 BHK
₹9.51 Cr,"Goregaon, Mumbai - Western Mumbai, Maharashtra",2940sqft,,4 BHK
₹40.0 Lac,"Thane-Kalyan-Dombivli, Mumbai, Maharashtra",650sqft,,2 BHK
₹7.25 Cr,"Flat no 2001, Vista - The Address, Opp R city mall, Ghatkopar West, Ghatkopar West, Mumbai - Central Mumbai, Maharashtra",2365sqft,,4 BHK
₹4.50 Cr,"white city kandivali east, Kandivali East, Mumbai - Western Mumbai, Maharashtra",1763sqft,,4 BHK
₹14.01 Cr,"Bandra west., Bandra West, Mumbai - Western Mumbai, Maharashtra",2500sqft,,4 BHK
₹5.75 Cr,"Versova Bowla, JP Rd, Jeet Nagar, Versova, Andheri West, Seven Bungalows, Mumbai - Western Mumbai, Maharashtra",1350sqft,,3 BHK
₹1.89 Cr,"Bandra East, Mumbai, Bandra East, Mumbai - Western Mumbai, Maharashtra",439sqft,,1 BHK
₹1.75 Cr,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1030sqft,,3 BHK
₹15.0 Cr,"BDD Chawls Worli, Mumbai - South Mumbai, Maharashtra",1954sqft,,4 BHK
₹2.0 Cr,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",815sqft,,2 BHK
₹1.76 Cr,"Piramal nagar sv road goregaon west, Piramal Nagar, Mumbai - North Mumbai, Maharashtra",650sqft,,2 BHK
₹86.0 Lac,"Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",700sqft,,2 BHK
₹3.58 Cr,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Mumbai, Maharashtra",1204sqft,,3 BHK
₹25.0 Cr,"Shivaji Park, Mumbai, Dadar West, Mumbai - South Mumbai, Maharashtra",3356sqft,,5 BHK
₹7.75 Cr,"Worli, Mumbai., Worli, Mumbai - South Mumbai, Maharashtra",1800sqft,,4 BHK
₹2.20 Cr,"Bapubhai vashi road, Vile Parle West., Vile Parle West, Mumbai - Western Mumbai, Maharashtra",515sqft,,1 BHK
₹1.45 Cr,"Sagbaug, Marol CHS Road, Andheri Kurla Road, Next to Times Square, Andheri East, Mumbai, Maharashtra",508sqft,,1 BHK
₹2.0 Cr,"Siennaa, Off, Western Express Hwy, opposite Alpine, Sarova, Kandivali East, Mumbai, Maharashtra 400101, Kandivali East, Mumbai - Western Mumbai, Maharashtra",720sqft,,2 BHK
₹9.25 Cr,"Goregaon West, Mumbai, Goregaon West, Mumbai - Western Mumbai, Maharashtra",2300sqft,,4 BHK
₹2.30 Cr,"Goregaon East, Mumbai, Film City Road, Mumbai - North Mumbai, Maharashtra",830sqft,,2 BHK
₹4.20 Cr,"Dadar West, Mumbai, Gokhale Road, Mumbai - Western Mumbai, Maharashtra",958sqft,,2 BHK
₹30.0 Cr,"Lower Parel, Mumbai, Lower Parel, Mumbai - South Mumbai, Maharashtra",4900sqft,,5 BHK
₹8.50 Cr,"Island City Center Two ICC G D Ambekar Rd Dadar East Mumbai Maharashtra 400014, Dadar, Mumbai - South Mumbai, Maharashtra",2070sqft,,4 BHK
₹4.40 Cr,"Worli, Mumbai - South Mumbai, Maharashtra",936sqft,,2 BHK
₹8.50 Cr,"juhu, Gulmohar Road, Mumbai - Western Mumbai, Maharashtra",2300sqft,,4 BHK
₹9.75 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",2300sqft,,6 BHK
₹2.80 Cr,"Pant Nagar Ghatkopar east Mumbai 75, Pant Nagar, Mumbai - Central Line, Maharashtra",951sqft,,2 BHK
₹11.75 Cr,"Chembur, Mumbai, Chembur, Mumbai - Harbour Line, Maharashtra",2677sqft,,5 BHK
₹6.0 Cr,"Oberoi Enigma, Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1926sqft,,4 BHK
₹2.40 Cr,"Bhandup west, Bhandup West, Mumbai - Central Mumbai, Maharashtra",1056sqft,,3 BHK
₹1.55 Cr,"Gilbert Hill, Mumbai - Western Mumbai, Maharashtra",680sqft,,2 BHK
₹1.90 Cr,"Jijabai Road, Andheri East, Mumbai, Andheri East, Mumbai - Western Mumbai, Maharashtra",950sqft,,3 BHK
₹16.25 Cr,"Chembur, Mumbai, Sion Trombay Road, Mumbai - Harbour Line, Maharashtra",3027sqft,,5 BHK
₹3.60 Cr,"Andheri East, Mumbai - Western Mumbai, Maharashtra",1379sqft,,3 BHK
₹51.0 Cr,"worli, Worli, Mumbai - South Mumbai, Maharashtra",6000sqft,,5 BHK
₹3.12 Cr,"Kandivali West, Mumbai., Charkop, Mumbai - North Mumbai, Maharashtra",1397sqft,,4 BHK
₹63.0 Cr,"Off, Dr Annie Besant Rd, next to Neelam Center, Hanuman Nagar, Worli, Mumbai - South Mumbai, Maharashtra","19,000sqft",,8 BHK
₹1.89 Cr,"Kanjurmarg East, Mumbai, Kanjurmarg East, Mumbai - Central Mumbai, Maharashtra",707sqft,,2 BHK
₹1.95 Cr,"Sahakar Nagar, Sahakar Nagar, Mumbai - Harbour Line, Maharashtra",750sqft,,2 BHK
₹9.25 Cr,"World view., Lower Parel, Mumbai - South Mumbai, Maharashtra",2210sqft,,4 BHK
₹21.0 Cr,"worli, Worli, Mumbai - South Mumbai, Maharashtra",3800sqft,,5 BHK
₹6.25 Cr,"Eleganzia Royale D N Nagar J P Road Andheri West Mumbai Mahahrastra 400053, D.N. Nagar, Mumbai - Western Mumbai, Maharashtra",1800sqft,,4 BHK
₹2.23 Cr,"Chandivali, Mumbai, Raheja Vihar, Mumbai - Central Line, Maharashtra",830sqft,,2 BHK
₹7.50 Cr,"Chembur, Mumbai, Ramakrishna Chemburkar Marg, Mumbai - Harbour Line, Maharashtra",2128sqft,,4 BHK
₹1.55 Cr,"Kandivali East, Mumbai, Akurli Nagar, Mumbai - North Mumbai, Maharashtra",650sqft,,2 BHK
₹1.55 Cr,"Goregaon West, Mumbai - Western Mumbai, Maharashtra",620sqft,,2 BHK
₹2.59 Cr,"S.V Road, Goregaon West, Mumbai, Maharashtra",1180sqft,,3 BHK
₹9.0 Cr,"Worli, Mumbai - South Mumbai, Maharashtra",1715sqft,,4 BHK
₹1.10 Cr,"Malad East, Mumbai, Film City Road, Mumbai - North Mumbai, Maharashtra",425sqft,,1 BHK
₹5.10 Cr,"Shimpoli, Haridas Nagar, Borivali West, Mumbai - Western Mumbai, Maharashtra",1567sqft,,5 BHK
₹1.08 Cr,"HARIOM NAGAR, Mulund East, Hari Om Nagar, Mumbai - North Mumbai, Maharashtra",450sqft,,1 BHK
₹1.11 Cr,"Mahavir Nagar, Mahavir Nagar, Mumbai - North Mumbai, Maharashtra",400sqft,,1 BHK
₹80.0 Lac,"103, Madhu Apartment, Sawant Wadi, Chirag Nagar, Ghatkopar West., Ghatkopar West, Mumbai - Central Mumbai, Maharashtra",415sqft,,1 BHK
₹3.76 Cr,"Matunga east., Five Gardens, Mumbai - Central Mumbai, Maharashtra",820sqft,,2 BHK
₹14.50 Cr,"Shivaji park, Shivaji Park, Mumbai - Central Mumbai, Maharashtra",2400sqft,,4 BHK
₹1.31 Cr,"Andheri East, Mumbai, Andheri East, Mumbai - Western Mumbai, Maharashtra",615sqft,,2 BHK
₹2.45 Cr,"Vikhroli West, Mumbai - Central Mumbai, Maharashtra",937sqft,,3 BHK
₹2.59 Cr,"Chembur East, Mumbai, Maharashtra",740sqft,,2 BHK
₹38.0 Lac,"virar global city, Virar West, Mumbai - Mira Road and Beyond, Maharashtra",650sqft,,2 BHK
₹8.0 Cr,"chembur East near Jain temple, Chembur, Mumbai - Harbour Line, Maharashtra",2128sqft,,4 BHK
₹92.8 Lac,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",656sqft,,2 BHK
₹1.05 Cr,"Mumbai, Jogeshwari West, Mumbai - Western Mumbai, Maharashtra",401sqft,,1 BHK
₹1.80 Cr,"Seven Bungalows, Mumbai - Western Mumbai, Maharashtra",700sqft,,2 BHK
₹2.75 Cr,"602. Narsing Ln Kandivali Mahavir Nagar Malad West Mumbai Maharashtra 400067, Goraswadi, Mumbai - North Mumbai, Maharashtra",560sqft,,2 BHK
₹2.85 Cr,"Behind Majas Bus Depot, JVLR, Andheri east - Mumbai - 400093, Andheri East, Mumbai - Western Mumbai, Maharashtra",1341sqft,,3 BHK
₹1.0 Cr,"V S Marg Bhandup East Mumbai 42, Mumbai, Maharashtra",420sqft,,1 BHK
₹81.8 Lac,"Vikhroli East, Mumbai - Central Mumbai, Maharashtra",377sqft,,1 BHK
₹1.42 Cr,"near kanjur marg railway station kanjurmarg 400042, Kanjurmarg East, Mumbai - Central Mumbai, Maharashtra",537sqft,,2 BHK
₹9.70 Cr,"L.B.S. Marg, Mulund West, Mumbai - Central Mumbai, Maharashtra",4000sqft,,5 BHK
₹11.0 Cr,"Lower Parel, Mumbai - South Mumbai, Maharashtra",1800sqft,,3 BHK
₹6.0 Cr,"Lodha New Cuffe Parade Evoq Off Eastern Fwy near Wadala Truck Terminal Wadala East Sion Mumbai Maharashtra 400037, Wadala, Mumbai - South Mumbai, Maharashtra",2050sqft,,4 BHK
₹85.0 Lac,"Dahisar East, Mumbai, Anand Nagar - Dahisar East, Mumbai - North Mumbai, Maharashtra",354sqft,,1 BHK
₹5.99 Cr,"Dadar East, Dadar East, Mumbai - South Mumbai, Maharashtra",1650sqft,,3 BHK
₹6.0 Cr,"Andheri West, Mumbai, 4 Bunglows, Mumbai - Western Mumbai, Maharashtra",1305sqft,,4 BHK
₹15.30 Cr,"Khar West, Mumbai, Khar Danda, Mumbai - Western Mumbai, Maharashtra",2125sqft,,5 BHK
